Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Count 2010,Median 2010,Count 2011,Median 2011,Count 2012,Median 2012,Count 2013,Median 2013,Count 2014,Median 2014,Count 2015,Median 2015,Count 2016,Median 2016,Count 2017,Median 2017,Count 2018,Median 2018,Count 2019,Median 2019,Count 2020,Median 2020
Carlton,"$900,000 ","$1,055,000 ","$860,500 ","$1,002,500 ","$1,020,000 ","$830,000 ","$1,050,000 ","$1,470,000 ","$1,600,000 ","$1,308,000 ","$1,415,000 ",3283,$340 ,3412,$340 ,3835,$340 ,3832,$347 ,4275,$352 ,4871,$366 ,5206,$373 ,4690,$398 ,4422,$417 ,4474,$432 ,4909,$400 
Carlton North,"$930,000 ","$833,000 ","$940,000 ","$890,500 ","$1,095,000 ","$1,177,500 ","$1,360,000 ","$1,628,000 ","$1,445,000 ","$1,555,000 ","$1,500,000 ",499,$441 ,529,$465 ,488,$495 ,515,$493 ,539,$515 ,542,$530 ,532,$526 ,491,$545 ,507,$567 ,496,$579 ,536,$589 
Carnegie,"$880,000 ","$905,500 ","$845,000 ","$865,000 ","$1,007,500 ","$1,300,000 ","$1,348,500 ","$1,509,000 ","$1,445,000 ","$1,313,500 ","$1,420,000 ",931,$317 ,1038,$331 ,1030,$343 ,1076,$350 ,1126,$353 ,1171,$364 ,1226,$381 ,1226,$403 ,1270,$421 ,1317,$435 ,1326,$437 
Carrum,"$500,000 ","$492,500 ","$499,000 ","$510,000 ","$536,000 ","$611,000 ","$750,000 ","$835,500 ","$860,000 ","$770,000 ","$830,000 ",1392,$328 ,1470,$350 ,1561,$355 ,1506,$357 ,1465,$369 ,1436,$379 ,1468,$393 ,1489,$408 ,1451,$428 ,1497,$440 ,1492,$443 
Carrum Downs,"$330,000 ","$345,000 ","$334,000 ","$330,000 ","$346,000 ","$370,000 ","$430,000 ","$525,000 ","$575,000 ","$537,000 ","$576,000 ",1509,$287 ,1704,$305 ,1847,$310 ,1938,$317 ,1906,$320 ,1727,$329 ,1666,$344 ,1760,$353 ,1779,$366 ,1822,$370 ,1637,$378 
Caulfield,"$1,180,000 ","$1,150,000 ","$1,085,000 ","$1,172,500 ","$1,322,000 ","$1,650,000 ","$1,715,000 ","$1,914,000 ","$1,701,000 ","$1,762,500 ","$1,811,000 ",1657,$368 ,1745,$383 ,1766,$394 ,1992,$389 ,2148,$392 ,2056,$400 ,2076,$416 ,2296,$440 ,2260,$451 ,2310,$473 ,2413,$470 
Chadstone,"$670,500 ","$625,000 ","$595,000 ","$719,000 ","$823,500 ","$925,000 ","$1,017,500 ","$1,131,000 ","$1,050,000 ","$958,000 ","$1,105,000 ",928,$358 ,963,$373 ,1032,$375 ,1074,$381 ,983,$390 ,1062,$400 ,1060,$415 ,1188,$431 ,1180,$449 ,1204,$458 ,1205,$458 
Chelsea,"$585,500 ","$525,000 ","$545,000 ","$577,500 ","$580,000 ","$730,000 ","$890,000 ","$914,000 ","$905,000 ","$856,500 ","$965,000 ",1392,$328 ,1470,$350 ,1561,$355 ,1506,$357 ,1465,$369 ,1436,$379 ,1468,$393 ,1489,$408 ,1451,$428 ,1497,$440 ,1492,$443 
Cheltenham,"$696,000 ","$644,000 ","$635,500 ","$695,000 ","$775,000 ","$866,000 ","$940,500 ","$1,171,000 ","$1,105,000 ","$1,035,000 ","$1,160,000 ",1249,$365 ,1314,$381 ,1338,$390 ,1505,$379 ,1622,$392 ,1631,$403 ,1736,$420 ,1831,$443 ,1917,$451 ,1978,$463 ,1849,$471 
Clayton,"$650,500 ","$617,000 ","$572,500 ","$645,000 ","$750,000 ","$976,000 ","$1,010,500 ","$1,250,000 ","$1,255,000 ","$1,150,000 ","$1,050,000 ",1659,$330 ,1814,$343 ,1745,$350 ,1985,$346 ,2020,$353 ,2057,$361 ,2100,$370 ,1998,$385 ,1977,$400 ,2097,$415 ,2293,$416 
Clifton Hill,"$825,000 ","$780,000 ","$801,500 ","$865,000 ","$965,000 ","$1,085,000 ","$1,220,000 ","$1,390,000 ","$1,360,000 ","$1,348,000 ","$1,375,000 ",880,$435 ,904,$455 ,1049,$465 ,1043,$489 ,1089,$495 ,1098,$500 ,1170,$503 ,1117,$525 ,1017,$550 ,1112,$565 ,1049,$553 
