Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Dandenong North,400000,395000,370000,390000,415500,481000,551000,633500,640000,606500,640000,60,4.8,$285 ,$300 ,$300 ,$300 ,$315 ,$320 ,$330 ,$340 ,$350 ,$360 ,$360 
Deer Park,355000,357000,345000,348000,365000,390000,441000,552500,580000,550000,580000,63,5.0,$280 ,$285 ,$290 ,$290 ,$300 ,$310 ,$320 ,$330 ,$350 ,$350 ,$360 
Doncaster,795000,770000,720000,850000,999000,1176000,1297500,1366500,1320000,1260000,1280000,61,4.9,$390 ,$400 ,$400 ,$415 ,$430 ,$440 ,$450 ,$450 ,$480 ,$490 ,$480 
Doncaster East,750000,720000,682000,789000,894500,1113500,1230000,1360000,1222000,1198000,1250000,67,5.2,$375 ,$395 ,$400 ,$410 ,$420 ,$450 ,$450 ,$465 ,$480 ,$490 ,$500 
Donvale,715000,712500,681000,735000,840000,964000,970000,1201000,1182500,1140000,1192500,67,5.2,$375 ,$395 ,$400 ,$410 ,$420 ,$450 ,$450 ,$465 ,$480 ,$490 ,$500 
Dromana,446500,455000,451000,462000,492000,552000,583000,690000,785500,715000,760000,70,5.5,$265 ,$290 ,$290 ,$300 ,$310 ,$320 ,$340 ,$360 ,$375 ,$380 ,$390 
East Melbourne,1621000,1737500,2480000,1790000,1850000,2750000,3655000,3585000,2675000,3413500,2350000,45,3.8,$410 ,$440 ,$450 ,$460 ,$470 ,$450 ,$479 ,$495 ,$500 ,$500 ,$550 
Elsternwick,1240000,1200000,1155000,1365000,1315000,1621000,1723500,2087500,1970000,1825000,2101500,69,5.4,$350 ,$370 ,$390 ,$390 ,$395 ,$400 ,$395 ,$420 ,$420 ,$450 ,$450 
Eltham,614000,625000,590500,631500,670000,750000,820000,930000,942500,925000,1000000,63,5.0,$340 ,$360 ,$360 ,$370 ,$370 ,$400 ,$400 ,$415 ,$440 ,$450 ,$450 
Elwood,1350000,1150000,1287500,1350000,1412500,1631000,1830000,1900000,2140000,1950000,2050000,52,4.3,$360 ,$380 ,$395 ,$390 ,$390 ,$400 ,$400 ,$420 ,$430 ,$450 ,$450 
Endeavour Hills,400000,400000,390000,400000,432000,496500,550000,630500,651000,620000,671000,68,5.3,$285 ,$300 ,$300 ,$300 ,$315 ,$320 ,$330 ,$340 ,$350 ,$360 ,$360 
Epping,380000,385000,365000,366500,386500,400000,455000,556000,600000,546000,576500,52,4.3,$320 ,$330 ,$330 ,$330 ,$330 ,$330 ,$345 ,$350 ,$370 ,$370 ,$375 
Essendon,952000,895000,920000,870000,942000,1228000,1365000,1402000,1682000,1448500,1485000,56,4.5,$320 ,$335 ,$350 ,$350 ,$350 ,$353 ,$370 ,$390 ,$400 ,$410 ,$415 
Fairfield,810000,800000,825000,915000,945000,1111500,1303000,1496000,1316000,1295000,1395500,72,5.6,$310 ,$320 ,$330 ,$340 ,$350 ,$345 ,$365 ,$375 ,$400 ,$445 ,$440 
Fawkner,460000,439000,406500,410000,444000,510000,587500,705000,720000,665000,710000,54,4.4,$310 ,$330 ,$330 ,$320 ,$330 ,$340 ,$350 ,$360 ,$380 ,$390 ,$400 
Ferntree Gully,449000,430500,429500,451000,505000,599000,660000,749000,732500,692000,750000,67,5.3,$310 ,$320 ,$320 ,$335 ,$340 ,$350 ,$370 ,$380 ,$400 ,$400 ,$420 
Fitzroy,805500,880000,918500,945000,1130000,1297500,1600000,1625000,1450000,1400000,1397500,73,5.7,$450 ,$470 ,$490 ,$490 ,$520 ,$500 ,$510 ,$530 ,$555 ,$595 ,$570 
Fitzroy North,900000,855000,868000,976000,1014000,1188000,1279000,1450000,1475000,1385000,1595000,77,5.9,$430 ,$450 ,$460 ,$490 ,$495 ,$500 ,$500 ,$520 ,$550 ,$570 ,$550 
Flemington,670000,655000,652000,735500,730000,830000,918000,1100000,926500,1000000,1035000,54,4.4,$365 ,$370 ,$385 ,$380 ,$390 ,$395 ,$400 ,$415 ,$420 ,$440 ,$440 
Flinders,760000,822000,710000,765000,808000,839000,1225000,1525000,1697500,1670000,2085000,174,10.6,$275 ,$300 ,$300 ,$300 ,$310 ,$320 ,$340 ,$350 ,$370 ,$385 ,$400 
Footscray,574000,568000,568000,600000,645000,690500,775000,882000,899000,812000,880000,53,4.4,$300 ,$303 ,$320 ,$320 ,$330 ,$330 ,$345 ,$360 ,$370 ,$380 ,$390 
Forest Hill,620000,560000,565000,650500,721000,892000,933500,1060000,935000,900000,986000,59,4.7,$360 ,$380 ,$385 ,$388 ,$395 ,$410 ,$420 ,$420 ,$450 ,$450 ,$460 
Frankston,367000,357000,340000,350000,372000,426000,474000,600000,605000,581000,621500,69,5.4,$270 ,$290 ,$299 ,$300 ,$300 ,$310 ,$330 ,$340 ,$355 ,$360 ,$370 
Gladstone Park,426500,385000,380000,392500,400000,460000,525000,645000,630000,636500,640000,50,4.1,$300 ,$310 ,$325 ,$320 ,$330 ,$335 ,$340 ,$360 ,$380 ,$385 ,$390 
Glen Iris,1320000,1200000,1200000,1310000,1500000,1800000,1935000,2025000,1927500,1961000,2125000,61,4.9,$380 ,$400 ,$420 ,$420 ,$420 ,$430 ,$440 ,$450 ,$490 ,$500 ,$500 
Glen Waverley,735000,718000,720000,815000,960000,1212500,1221000,1337500,1300000,1285500,1295000,76,5.8,$380 ,$400 ,$410 ,$420 ,$420 ,$440 ,$450 ,$460 ,$475 ,$500 ,$500 
Glenroy,508500,457500,437500,454000,500000,560000,600000,730000,725000,700000,740000,46,3.8,$310 ,$330 ,$330 ,$320 ,$330 ,$340 ,$350 ,$360 ,$380 ,$390 ,$400 
