Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MCLOUGHLINS BEACH,Mcloughlins Beach,"$149,000 ","$152,500 ","$151,500 ","$145,500 ","$169,500 ","$145,000 ","$180,000 ","$110,000 ","$191,000 ","$210,000 ","$205,000 "
MEADOW HEIGHTS,Meadow Heights,"$345,000 ","$321,500 ","$315,000 ","$317,000 ","$322,500 ","$350,500 ","$370,000 ","$451,000 ","$510,000 ","$474,000 ","$499,000 "
MEENIYAN,Meeniyan,"$180,000 ","$230,000 ","$216,500 ","$199,000 ","$223,500 ","$242,500 ","$270,000 ","$244,500 ","$292,500 ","$424,500 ","$349,500 "
MELTON,Melton,"$250,000 ","$256,000 ","$250,000 ","$245,000 ","$240,000 ","$255,000 ","$280,500 ","$368,500 ","$415,000 ","$385,000 ","$390,000 "
MELTON SOUTH,Melton South,"$248,500 ","$247,000 ","$230,000 ","$230,000 ","$238,000 ","$260,000 ","$276,000 ","$377,000 ","$417,000 ","$390,000 ","$425,000 "
MELTON WEST,Melton West,"$285,000 ","$300,000 ","$283,000 ","$285,500 ","$290,000 ","$295,000 ","$330,000 ","$409,000 ","$453,000 ","$428,000 ","$470,000 "
MENTONE,Mentone,"$680,000 ","$692,500 ","$665,000 ","$705,000 ","$810,000 ","$950,000 ","$982,500 ","$1,097,500 ","$1,080,000 ","$1,031,000 ","$1,051,000 "
MERBEIN,Merbein,"$161,000 ","$157,000 ","$142,500 ","$140,500 ","$167,000 ","$180,000 ","$170,000 ","$183,500 ","$180,000 ","$210,000 ","$200,000 "
MERINDA PARK,Merinda Park,"$300,000 ","$307,500 ","$285,000 ","$310,000 ","$310,000 ","$345,000 ","$385,000 ","$471,500 ","$523,000 ","$476,000 ","$527,500 "
MERNDA,Mernda,"$390,000 ","$397,000 ","$374,500 ","$375,000 ","$370,000 ","$410,000 ","$430,000 ","$525,500 ","$573,500 ","$552,000 ","$570,500 "
MERRIJIG (MANSFIELD),Merrijig (Mansfield),"$287,500 ","$342,500 ","$272,500 ","$332,500 ","$390,000 ","$292,500 ","$344,000 ","$420,000 ","$461,000 ","$422,500 ","$619,000 "
METUNG,Metung,"$302,000 ","$267,500 ","$350,000 ","$337,500 ","$287,500 ","$299,000 ","$360,000 ","$347,500 ","$371,500 ","$440,000 ","$450,000 "
MIDDLE PARK,Middle Park,"$1,512,500 ","$1,345,000 ","$1,420,500 ","$1,587,500 ","$2,125,000 ","$2,317,000 ","$2,238,500 ","$2,370,000 ","$2,685,000 ","$2,775,000 ","$2,652,500 "
MILDURA,Mildura,"$220,000 ","$222,000 ","$225,000 ","$225,500 ","$245,000 ","$252,000 ","$260,000 ","$264,000 ","$281,500 ","$310,000 ","$336,000 "
MILL PARK,Mill Park,"$420,000 ","$410,000 ","$405,000 ","$408,000 ","$430,500 ","$480,000 ","$560,000 ","$668,500 ","$657,000 ","$653,000 ","$690,000 "
MILLGROVE,Millgrove,"$234,000 ","$235,000 ","$235,000 ","$245,000 ","$260,000 ","$275,000 ","$293,500 ","$343,000 ","$411,000 ","$415,000 ","$425,000 "
MINERS REST,Miners Rest,"$320,000 ","$339,000 ","$325,000 ","$330,000 ","$327,500 ","$335,000 ","$334,000 ","$370,000 ","$400,000 ","$427,500 ","$440,000 "
MINYIP,Minyip,"$85,000 ","$82,500 ","$81,000 ","$73,500 ","$95,000 ","$93,000 ","$82,500 ","$94,000 ","$81,000 ","$114,500 ","$75,000 "
MIRBOO NORTH,Mirboo North,"$244,000 ","$257,000 ","$252,000 ","$265,000 ","$250,000 ","$262,000 ","$275,000 ","$264,000 ","$307,500 ","$327,500 ","$375,000 "
MITCHAM,Mitcham,"$635,000 ","$595,000 ","$584,500 ","$650,000 ","$730,000 ","$885,500 ","$941,000 ","$1,070,000 ","$1,000,000 ","$942,000 ","$1,065,000 "
MITCHELL PARK,Mitchell Park,"$257,000 ","$247,500 ","$270,000 ","$267,000 ","$267,500 ","$260,000 ","$259,000 ","$263,000 ","$304,500 ","$313,000 ","$330,000 "
MOE,Moe,"$150,000 ","$165,000 ","$165,000 ","$155,000 ","$170,000 ","$162,500 ","$173,000 ","$175,000 ","$200,000 ","$210,000 ","$250,000 "
MONBULK,Monbulk,"$420,000 ","$392,500 ","$380,000 ","$395,000 ","$425,000 ","$471,500 ","$521,500 ","$608,000 ","$650,000 ","$630,000 ","$650,000 "
MONT ALBERT,Mont Albert,"$1,310,000 ","$1,310,000 ","$1,177,500 ","$1,316,000 ","$1,490,000 ","$1,863,000 ","$1,921,000 ","$2,100,000 ","$1,990,000 ","$1,690,000 ","$2,200,000 "
MONT ALBERT NORTH,Mont Albert North,"$965,000 ","$850,500 ","$780,000 ","$995,000 ","$1,100,000 ","$1,400,000 ","$1,490,000 ","$1,565,000 ","$1,460,000 ","$1,380,000 ","$1,400,000 "
MONTMORENCY,Montmorency,"$580,000 ","$560,000 ","$561,000 ","$570,000 ","$614,000 ","$732,000 ","$780,500 ","$890,000 ","$926,000 ","$856,000 ","$916,500 "
MONTROSE,Montrose,"$440,000 ","$435,000 ","$426,000 ","$445,000 ","$476,500 ","$559,000 ","$625,000 ","$700,500 ","$737,500 ","$707,500 ","$728,000 "
MOONEE PONDS,Moonee Ponds,"$852,500 ","$780,500 ","$775,000 ","$830,500 ","$920,000 ","$1,006,000 ","$1,110,500 ","$1,310,000 ","$1,360,000 ","$1,300,000 ","$1,290,000 "
MOORABBIN,Moorabbin,"$710,000 ","$657,000 ","$631,000 ","$682,000 ","$768,000 ","$855,000 ","$980,000 ","$1,160,000 ","$1,130,000 ","$1,065,000 ","$1,075,000 "
MOOROOLBARK,Mooroolbark,"$445,000 ","$435,000 ","$425,000 ","$440,000 ","$465,000 ","$558,500 ","$620,000 ","$726,000 ","$720,000 ","$670,000 ","$720,500 "
MOOROOPNA,Mooroopna,"$222,000 ","$215,000 ","$217,500 ","$207,500 ","$215,000 ","$230,000 ","$215,500 ","$225,000 ","$230,000 ","$247,500 ","$265,000 "
MORDIALLOC,Mordialloc,"$650,000 ","$660,000 ","$642,500 ","$680,000 ","$755,000 ","$850,000 ","$933,000 ","$1,120,000 ","$1,046,500 ","$1,017,500 ","$1,045,000 "
MORNINGTON,Mornington,"$512,000 ","$525,000 ","$501,500 ","$525,000 ","$558,000 ","$641,000 ","$745,000 ","$800,000 ","$850,000 ","$807,000 ","$890,000 "
MORTLAKE,Mortlake,"$150,000 ","$146,000 ","$152,000 ","$129,500 ","$152,500 ","$120,000 ","$152,000 ","$170,000 ","$165,000 ","$164,000 ","$220,000 "
MORWELL,Morwell,"$152,500 ","$158,500 ","$150,500 ","$160,000 ","$150,000 ","$150,000 ","$153,000 ","$170,000 ","$167,000 ","$179,000 ","$200,500 "
MOUNT BEAUTY,Mount Beauty,"$195,000 ","$173,000 ","$140,000 ","$180,000 ","$200,000 ","$189,500 ","$183,000 ","$258,000 ","$267,500 ","$294,000 ","$317,000 "
MOUNT CLEAR,Mount Clear,"$265,000 ","$287,000 ","$305,000 ","$286,000 ","$288,000 ","$322,500 ","$345,000 ","$345,000 ","$379,000 ","$396,500 ","$413,000 "
MOUNT DANDENONG,Mount Dandenong,"$476,000 ","$447,500 ","$476,500 ","$450,000 ","$610,000 ","$612,500 ","$641,000 ","$847,000 ","$647,500 ","$690,000 ","$791,000 "
MOUNT DUNEED,Mount Duneed,"$267,000 ","$190,000 ","$480,000 ","$286,000 ","$532,000 ","$545,000 ","$425,000 ","$500,000 ","$555,000 ","$557,000 ","$595,000 "
MOUNT ELIZA,Mount Eliza,"$732,000 ","$725,000 ","$680,000 ","$750,000 ","$777,500 ","$832,000 ","$950,000 ","$1,137,500 ","$1,222,500 ","$1,180,000 ","$1,301,500 "
MOUNT EVELYN,Mount Evelyn,"$390,500 ","$400,000 ","$393,000 ","$406,000 ","$428,500 ","$493,500 ","$551,000 ","$640,000 ","$671,500 ","$636,000 ","$710,000 "
MOUNT HELEN,Mount Helen,"$311,000 ","$355,000 ","$325,000 ","$344,000 ","$368,000 ","$342,000 ","$355,000 ","$376,000 ","$420,000 ","$417,000 ","$470,000 "
MOUNT MACEDON,Mount Macedon,"$520,000 ","$512,500 ","$543,000 ","$662,500 ","$600,000 ","$635,000 ","$750,000 ","$665,000 ","$859,000 ","$775,000 ","$1,043,000 "
MOUNT MARTHA,Mount Martha,"$705,500 ","$690,000 ","$715,500 ","$727,500 ","$745,000 ","$785,000 ","$965,000 ","$1,050,000 ","$1,202,500 ","$1,262,500 ","$1,400,500 "
MOUNT PLEASANT,Mount Pleasant,"$239,000 ","$248,500 ","$259,000 ","$276,500 ","$269,500 ","$293,500 ","$297,500 ","$293,000 ","$350,000 ","$377,500 ","$412,500 "
MOUNT WAVERLEY,Mount Waverley,"$806,000 ","$745,000 ","$733,000 ","$820,000 ","$950,000 ","$1,268,000 ","$1,265,000 ","$1,416,000 ","$1,320,000 ","$1,270,000 ","$1,296,500 "
MULGRAVE,Mulgrave,"$550,000 ","$531,000 ","$533,000 ","$577,500 ","$627,000 ","$765,500 ","$786,000 ","$900,500 ","$860,000 ","$840,000 ","$834,500 "
MURCHISON,Murchison,"$175,000 ","$165,000 ","$183,000 ","$186,000 ","$155,000 ","$165,000 ","$187,000 ","$254,500 ","$225,000 ","$244,500 ","$291,500 "
MURRUMBEENA,Murrumbeena,"$835,000 ","$822,000 ","$785,000 ","$870,000 ","$982,500 ","$1,204,000 ","$1,286,000 ","$1,420,000 ","$1,350,000 ","$1,243,000 ","$1,410,500 "
MURTOA,Murtoa,"$85,000 ","$133,000 ","$108,500 ","$95,000 ","$110,000 ","$91,000 ","$97,500 ","$115,000 ","$110,000 ","$119,000 ","$136,500 "
MYRTLEFORD,Myrtleford,"$179,000 ","$219,000 ","$220,000 ","$220,000 ","$245,000 ","$242,000 ","$270,500 ","$265,000 ","$295,000 ","$325,000 ","$382,500 "
NAGAMBIE,Nagambie,"$351,500 ","$248,000 ","$255,000 ","$312,500 ","$378,000 ","$360,500 ","$336,000 ","$330,000 ","$385,000 ","$414,000 ","$460,000 "
NARRE WARREN,Narre Warren,"$368,500 ","$365,000 ","$356,000 ","$370,000 ","$386,000 ","$430,000 ","$486,500 ","$590,000 ","$614,000 ","$589,000 ","$610,000 "
NARRE WARREN NORTH,Narre Warren North,"$690,000 ","$726,500 ","$660,000 ","$685,000 ","$822,500 ","$773,000 ","$900,000 ","$1,108,000 ","$1,180,000 ","$1,100,000 ","$1,167,500 "
NARRE WARREN SOUTH,Narre Warren South,"$405,000 ","$405,000 ","$405,000 ","$410,000 ","$440,000 ","$476,000 ","$530,000 ","$620,000 ","$636,500 ","$625,000 ","$660,000 "
NATHALIA,Nathalia,"$155,000 ","$150,000 ","$205,000 ","$165,000 ","$190,500 ","$178,000 ","$185,000 ","$232,500 ","$210,000 ","$229,000 ","$250,000 "
NEERIM SOUTH,Neerim South,"$240,000 ","$260,000 ","$265,000 ","$340,000 ","$336,500 ","$280,000 ","$330,000 ","$320,000 ","$406,500 ","$413,000 ","$487,000 "
NELSON,Nelson,"$266,500 ","$240,000 ","$205,000 ","$224,000 ","$203,500 ","$257,500 ","$220,000 ","$249,500 ","$255,000 ","$247,500 ","$210,000 "
NERRINA,Nerrina,"$381,000 ","$387,000 ","$467,500 ","$455,000 ","$482,500 ","$522,500 ","$517,500 ","$570,000 ","$575,000 ","$617,500 ","$635,000 "
NEW GISBORNE,New Gisborne,"$465,000 ","$492,000 ","$475,000 ","$500,000 ","$510,000 ","$498,000 ","$545,000 ","$625,000 ","$757,500 ","$695,000 ","$721,500 "
NEWBOROUGH,Newborough,"$192,500 ","$187,000 ","$213,500 ","$213,000 ","$215,000 ","$220,000 ","$224,500 ","$220,000 ","$250,000 ","$255,000 ","$290,000 "
NEWCOMB,Newcomb,"$280,000 ","$275,000 ","$275,000 ","$280,000 ","$292,000 ","$290,500 ","$310,000 ","$375,000 ","$453,500 ","$435,000 ","$476,000 "
NEWINGTON,Newington,"$290,500 ","$290,000 ","$300,000 ","$320,000 ","$341,000 ","$345,000 ","$372,500 ","$422,500 ","$465,000 ","$490,000 ","$735,000 "
NEWLANDS ARM,Newlands Arm,"$300,000 ","$332,000 ","$325,000 ","$320,000 ","$302,000 ","$332,500 ","$380,000 ","$380,000 ","$367,500 ","$443,000 ","$470,000 "
NEWPORT,Newport,"$655,000 ","$680,000 ","$630,000 ","$695,000 ","$740,000 ","$825,000 ","$950,000 ","$1,080,000 ","$1,059,000 ","$1,055,000 ","$1,100,000 "
NEWSTEAD,Newstead,"$237,500 ","$243,000 ","$252,000 ","$300,000 ","$297,500 ","$365,000 ","$362,000 ","$420,000 ","$318,500 ","$436,000 ","$470,000 "
NEWTOWN (GREATER GEELONG),Newtown (Greater Geelong),"$559,500 ","$533,000 ","$527,500 ","$570,000 ","$620,000 ","$642,500 ","$712,500 ","$780,000 ","$843,000 ","$832,000 ","$945,000 "
NHILL,Nhill,"$101,500 ","$107,000 ","$110,000 ","$110,000 ","$125,000 ","$128,000 ","$140,000 ","$126,500 ","$149,000 ","$137,000 ","$158,500 "
NICHOLS POINT,Nichols Point,"$217,500 ","$311,500 ","$232,000 ","$316,500 ","$304,000 ","$370,000 ","$396,000 ","$346,000 ","$470,000 ","$430,000 ","$475,000 "
NIDDRIE,Niddrie,"$740,000 ","$742,500 ","$666,000 ","$700,000 ","$747,500 ","$832,500 ","$910,000 ","$1,095,000 ","$1,070,000 ","$1,070,000 ","$975,000 "
NOBLE PARK,Noble Park,"$415,000 ","$410,000 ","$382,000 ","$400,000 ","$440,000 ","$510,000 ","$600,000 ","$680,000 ","$680,000 ","$625,500 ","$674,000 "
NOBLE PARK NORTH,Noble Park North,"$415,000 ","$395,000 ","$370,000 ","$383,000 ","$420,000 ","$491,500 ","$563,000 ","$640,000 ","$660,000 ","$610,000 ","$655,500 "
NORLANE,Norlane,"$190,500 ","$203,000 ","$206,500 ","$202,500 ","$215,000 ","$216,000 ","$236,500 ","$290,000 ","$355,000 ","$350,000 ","$372,000 "
NORTH BENDIGO,North Bendigo,"$218,000 ","$230,000 ","$267,000 ","$271,000 ","$280,000 ","$286,000 ","$279,000 ","$302,000 ","$310,000 ","$325,000 ","$375,000 "
NORTH GEELONG,North Geelong,"$304,000 ","$292,500 ","$286,500 ","$277,000 ","$301,000 ","$335,000 ","$338,500 ","$422,000 ","$495,000 ","$500,000 ","$551,000 "
NORTH MELBOURNE,North Melbourne,"$805,000 ","$750,000 ","$775,000 ","$802,500 ","$832,000 ","$926,000 ","$1,200,000 ","$1,390,000 ","$1,182,500 ","$1,352,500 ","$1,135,000 "
NORTH WONTHAGGI,North Wonthaggi,"$285,000 ","$284,000 ","$256,000 ","$230,000 ","$268,500 ","$274,500 ","$259,500 ","$294,000 ","$369,000 ","$389,000 ","$417,000 "
NORTHCOTE,Northcote,"$822,000 ","$780,000 ","$786,000 ","$818,000 ","$935,000 ","$1,008,500 ","$1,190,000 ","$1,325,000 ","$1,345,000 ","$1,303,500 ","$1,413,000 "
NOTTING HILL,Notting Hill,"$563,000 ","$525,500 ","$547,000 ","$566,500 ","$660,000 ","$780,000 ","$872,500 ","$993,000 ","$957,500 ","$880,000 ","$940,000 "
NUMURKAH,Numurkah,"$178,000 ","$190,500 ","$200,500 ","$195,000 ","$215,000 ","$219,000 ","$195,000 ","$219,000 ","$225,000 ","$250,000 ","$238,000 "
NUNAWADING,Nunawading,"$641,000 ","$585,000 ","$591,500 ","$637,500 ","$721,500 ","$880,000 ","$970,000 ","$1,090,000 ","$986,000 ","$951,000 ","$1,039,000 "
NYAH WEST,Nyah West,"$97,500 ","$70,000 ","$116,500 ","$94,000 ","$107,500 ","$146,500 ","$130,000 ","$133,500 ","$136,000 ","$85,000 ","$129,000 "
NYORA,Nyora,"$237,500 ","$216,500 ","$225,000 ","$222,500 ","$265,000 ","$245,000 ","$300,000 ","$260,000 ","$340,000 ","$370,000 ","$530,000 "
OAK PARK,Oak Park,"$641,000 ","$590,000 ","$540,000 ","$576,500 ","$626,000 ","$660,000 ","$822,500 ","$853,500 ","$878,500 ","$840,000 ","$903,000 "
OAKLEIGH,Oakleigh,"$741,000 ","$700,000 ","$645,000 ","$753,500 ","$801,500 ","$1,002,000 ","$1,050,000 ","$1,210,000 ","$1,250,000 ","$1,101,000 ","$1,200,000 "
OAKLEIGH EAST,Oakleigh East,"$675,000 ","$640,000 ","$610,000 ","$672,000 ","$820,000 ","$995,000 ","$983,000 ","$1,195,000 ","$992,500 ","$950,000 ","$986,000 "
OAKLEIGH SOUTH,Oakleigh South,"$630,000 ","$615,000 ","$590,000 ","$603,000 ","$700,000 ","$830,000 ","$890,000 ","$1,030,000 ","$960,000 ","$910,500 ","$980,000 "
OCEAN GROVE,Ocean Grove,"$427,500 ","$479,000 ","$465,000 ","$459,000 ","$515,000 ","$516,500 ","$555,000 ","$637,000 ","$691,000 ","$695,000 ","$782,000 "
OFFICER,Officer,"$385,000 ","$396,000 ","$429,000 ","$342,000 ","$339,000 ","$375,000 ","$440,000 ","$480,000 ","$548,000 ","$545,500 ","$590,000 "
OLINDA,Olinda,"$452,500 ","$520,000 ","$445,000 ","$496,000 ","$520,000 ","$553,500 ","$620,000 ","$705,000 ","$760,000 ","$746,500 ","$757,500 "
OMEO,Omeo,"$179,000 ","$162,500 ","$170,000 ","$210,000 ","$190,000 ","$212,500 ","$150,000 ","$183,000 ","$183,500 ","$250,000 ","$238,000 "
ORBOST,Orbost,"$181,000 ","$151,500 ","$150,000 ","$156,000 ","$150,000 ","$145,000 ","$162,500 ","$159,000 ","$165,000 ","$185,500 ","$220,000 "
ORMOND,Ormond,"$970,000 ","$912,500 ","$857,500 ","$997,500 ","$1,187,500 ","$1,300,000 ","$1,550,000 ","$1,604,500 ","$1,600,000 ","$1,475,000 ","$1,590,000 "
OSBORNE,Osborne,"$469,000 ","$488,500 ","$507,500 ","$530,000 ","$540,500 ","$580,000 ","$640,000 ","$735,000 ","$757,000 ","$777,500 ","$851,500 "
OUYEN,Ouyen,"$103,000 ","$110,000 ","$116,500 ","$75,000 ","$77,500 ","$105,500 ","$130,000 ","$130,000 ","$93,000 ","$99,000 ","$121,000 "
PAKENHAM,Pakenham,"$335,000 ","$340,000 ","$335,000 ","$335,000 ","$350,000 ","$367,000 ","$400,000 ","$470,000 ","$520,000 ","$486,000 ","$526,000 "
PARADISE BEACH,Paradise Beach,"$152,500 ","$159,500 ","$212,500 ","$163,500 ","$178,000 ","$188,500 ","$200,000 ","$180,000 ","$199,000 ","$200,000 ","$248,000 "
PARK ORCHARDS,Park Orchards,"$945,000 ","$942,500 ","$953,000 ","$952,500 ","$1,103,000 ","$1,225,000 ","$1,335,000 ","$1,450,000 ","$1,480,000 ","$1,510,000 ","$1,515,000 "
PARKDALE,Parkdale,"$755,000 ","$755,500 ","$677,000 ","$760,000 ","$860,000 ","$965,000 ","$1,100,000 ","$1,300,000 ","$1,245,000 ","$1,157,500 ","$1,200,000 "
PARKVILLE,Parkville,"$1,335,000 ","$1,100,000 ","$1,360,000 ","$1,200,000 ","$1,525,000 ","$1,360,500 ","$2,130,000 ","$2,375,000 ","$2,430,000 ","$1,480,000 ","$1,725,000 "
PASCOE VALE,Pascoe Vale,"$609,000 ","$575,000 ","$540,000 ","$580,000 ","$655,000 ","$720,000 ","$805,000 ","$891,000 ","$901,000 ","$855,000 ","$930,000 "
PASCOE VALE SOUTH,Pascoe Vale South,"$655,000 ","$612,500 ","$627,500 ","$645,500 ","$701,000 ","$745,000 ","$840,000 ","$975,000 ","$955,000 ","$950,000 ","$1,006,000 "
PATTERSON GARDENS,Patterson Gardens,"$582,500 ","$605,000 ","$610,000 ","$620,000 ","$672,000 ","$739,000 ","$812,000 ","$885,000 ","$890,000 ","$920,000 ","$970,000 "
PATTERSON LAKES,Patterson Lakes,"$621,000 ","$625,000 ","$730,000 ","$645,000 ","$734,000 ","$787,500 ","$810,000 ","$1,021,500 ","$1,025,000 ","$925,000 ","$1,100,000 "
PAYNESVILLE,Paynesville,"$290,000 ","$323,500 ","$290,000 ","$283,000 ","$300,000 ","$302,500 ","$308,000 ","$335,000 ","$353,000 ","$340,000 ","$392,500 "
PEARCEDALE,Pearcedale,"$390,000 ","$405,000 ","$425,000 ","$385,000 ","$445,000 ","$470,000 ","$534,000 ","$607,000 ","$660,000 ","$660,000 ","$665,000 "
PETERBOROUGH,Peterborough,"$291,500 ","$410,000 ","$333,000 ","$287,500 ","$307,500 ","$296,500 ","$340,000 ","$315,000 ","$450,000 ","$419,000 ","$550,000 "
PIONEER BAY,Pioneer Bay,"$235,000 ","$197,500 ","$235,000 ","$200,000 ","$220,000 ","$240,000 ","$216,000 ","$271,500 ","$308,000 ","$310,000 ","$355,000 "
PLENTY,Plenty,"$900,000 ","$730,000 ","$770,000 ","$773,000 ","$750,000 ","$915,500 ","$935,000 ","$1,145,000 ","$1,350,000 ","$1,301,000 ","$1,202,500 "
POINT COOK,Point Cook,"$435,000 ","$445,000 ","$435,000 ","$450,000 ","$445,000 ","$465,000 ","$505,000 ","$590,000 ","$630,000 ","$640,000 ","$667,000 "
POINT LONSDALE,Point Lonsdale,"$695,000 ","$670,000 ","$700,000 ","$700,000 ","$707,500 ","$655,000 ","$641,000 ","$780,000 ","$840,000 ","$827,500 ","$880,000 "
POREPUNKAH,Porepunkah,"$320,000 ","$276,000 ","$285,000 ","$347,000 ","$280,000 ","$323,000 ","$330,000 ","$447,000 ","$464,500 ","$530,000 ","$610,000 "
PORT ALBERT,Port Albert,"$250,000 ","$180,000 ","$235,000 ","$262,500 ","$190,000 ","$197,500 ","$218,500 ","$270,000 ","$240,000 ","$250,000 ","$315,000 "
PORT FAIRY,Port Fairy,"$392,000 ","$380,000 ","$410,000 ","$400,000 ","$425,000 ","$447,500 ","$473,500 ","$500,000 ","$651,000 ","$625,000 ","$663,000 "
PORT FRANKLIN,Port Franklin,"$216,000 ","$205,000 ","$232,000 ","$190,000 ","$173,500 ","$277,500 ","$207,500 ","$280,000 ","$257,000 ","$302,500 ","$304,500 "
PORT MELBOURNE,Port Melbourne,"$1,017,500 ","$915,000 ","$960,000 ","$995,000 ","$917,500 ","$1,252,500 ","$1,380,000 ","$1,485,000 ","$1,488,000 ","$1,400,000 ","$1,525,000 "
PORT WELSHPOOL,Port Welshpool,"$205,000 ","$195,000 ","$266,000 ","$201,500 ","$244,000 ","$200,000 ","$380,000 ","$247,500 ","$295,000 ","$315,000 ","$310,000 "
PORTARLINGTON,Portarlington,"$380,000 ","$425,000 ","$389,000 ","$390,000 ","$414,500 ","$409,000 ","$460,000 ","$515,000 ","$640,000 ","$625,000 ","$680,000 "
PORTLAND,Portland,"$220,000 ","$236,500 ","$227,500 ","$235,000 ","$210,000 ","$220,000 ","$220,000 ","$230,000 ","$234,500 ","$267,000 ","$295,000 "
PORTLAND NORTH,Portland North,"$115,000 ","$215,000 ","$226,500 ","$300,000 ","$248,000 ","$330,000 ","$340,000 ","$360,000 ","$367,500 ","$276,000 ","$507,000 "
PORTSEA,Portsea,"$1,387,500 ","$1,625,000 ","$1,398,000 ","$1,195,000 ","$1,305,000 ","$1,800,000 ","$1,701,000 ","$1,925,000 ","$2,180,000 ","$1,950,000 ","$2,515,000 "
PRAHRAN,Prahran,"$940,000 ","$955,000 ","$932,500 ","$990,000 ","$1,175,000 ","$1,350,000 ","$1,430,000 ","$1,525,000 ","$1,578,000 ","$1,520,000 ","$1,632,500 "
PRESTON,Preston,"$615,000 ","$602,000 ","$580,000 ","$632,500 ","$690,000 ","$791,000 ","$882,000 ","$996,000 ","$980,000 ","$940,000 ","$1,026,000 "
PRINCES HILL,Princes Hill,"$1,027,500 ","$967,500 ","$928,500 ","$1,216,500 ","$1,210,000 ","$1,280,000 ","$1,555,000 ","$1,767,500 ","$1,650,000 ","$2,035,000 ","$1,600,000 "
PYRAMID HILL,Pyramid Hill,"$122,500 ","$91,000 ","$100,000 ","$112,500 ","$117,000 ","$112,500 ","$112,500 ","$112,500 ","$100,000 ","$120,000 ","$117,500 "
QUARRY HILL,Quarry Hill,"$295,500 ","$292,500 ","$300,000 ","$385,000 ","$355,000 ","$377,500 ","$349,000 ","$362,000 ","$407,500 ","$395,000 ","$430,000 "
QUEENSCLIFF,Queenscliff,"$680,000 ","$590,000 ","$697,500 ","$630,000 ","$695,000 ","$700,000 ","$795,000 ","$763,000 ","$950,000 ","$950,000 ","$990,000 "
RAINBOW,Rainbow,"$70,000 ","$71,500 ","$69,000 ","$62,000 ","$77,000 ","$68,000 ","$59,500 ","$82,500 ","$99,000 ","$75,000 ","$82,000 "
RAYMOND ISLAND,Raymond Island,"$277,500 ","$262,500 ","$310,000 ","$297,500 ","$280,000 ","$285,000 ","$330,000 ","$289,500 ","$360,000 ","$300,000 ","$416,500 "
RED CLIFFS,Red Cliffs,"$160,000 ","$170,000 ","$157,000 ","$163,000 ","$155,500 ","$175,000 ","$165,000 ","$223,500 ","$211,500 ","$217,500 ","$270,000 "
REDAN,Redan,"$230,000 ","$227,500 ","$237,000 ","$250,000 ","$245,000 ","$247,000 ","$255,000 ","$287,500 ","$330,000 ","$357,000 ","$386,500 "
RESEARCH,Research,"$614,500 ","$657,000 ","$622,500 ","$605,500 ","$685,000 ","$686,000 ","$825,500 ","$950,000 ","$915,000 ","$937,500 ","$1,179,000 "
RESERVOIR,Reservoir,"$520,000 ","$500,000 ","$468,500 ","$510,000 ","$541,000 ","$615,000 ","$710,000 ","$812,500 ","$790,000 ","$754,000 ","$805,000 "
RHYLL,Rhyll,"$410,000 ","$415,000 ","$400,000 ","$393,000 ","$482,000 ","$402,000 ","$460,000 ","$527,500 ","$657,500 ","$565,000 ","$579,000 "
RICHMOND,Richmond,"$875,500 ","$825,000 ","$823,000 ","$900,000 ","$961,000 ","$1,150,000 ","$1,265,000 ","$1,302,500 ","$1,311,000 ","$1,260,000 ","$1,353,500 "
RIDDELLS CREEK,Riddells Creek,"$387,500 ","$449,000 ","$380,000 ","$450,000 ","$417,500 ","$456,500 ","$500,000 ","$580,000 ","$675,000 ","$710,000 ","$680,000 "
RINGWOOD,Ringwood,"$553,500 ","$506,000 ","$503,500 ","$551,000 ","$660,000 ","$777,500 ","$837,500 ","$910,500 ","$896,500 ","$803,000 ","$900,000 "
RINGWOOD EAST,Ringwood East,"$530,500 ","$520,000 ","$490,000 ","$547,000 ","$612,000 ","$750,000 ","$806,000 ","$901,000 ","$881,000 ","$809,000 ","$861,000 "
RINGWOOD NORTH,Ringwood North,"$580,000 ","$569,000 ","$564,000 ","$631,000 ","$662,000 ","$783,500 ","$844,000 ","$960,500 ","$920,000 ","$871,000 ","$957,500 "
RIPPLESIDE,Rippleside,"$654,000 ","$510,000 ","$414,000 ","$585,000 ","$530,000 ","$640,000 ","$739,000 ","$725,000 ","$750,000 ","$825,000 ","$874,000 "
ROBINVALE,Robinvale,"$145,000 ","$136,000 ","$176,000 ","$150,000 ","$160,000 ","$184,500 ","$170,000 ","$197,000 ","$220,000 ","$231,500 ","$235,000 "
ROCHESTER,Rochester,"$155,000 ","$185,000 ","$210,000 ","$189,500 ","$215,000 ","$235,000 ","$239,000 ","$242,500 ","$236,000 ","$255,000 ","$237,000 "
ROCKBANK,Rockbank,"$237,000 ","$251,000 ","$262,000 ","$309,000 ","$280,000 ","$300,000 ","$347,000 ","$455,000 ","$500,000 ","$497,000 ","$466,000 "
ROMSEY,Romsey,"$350,000 ","$360,000 ","$367,500 ","$387,500 ","$396,000 ","$420,000 ","$428,000 ","$470,000 ","$550,000 ","$580,500 ","$632,500 "
ROSANNA,Rosanna,"$706,000 ","$725,000 ","$652,500 ","$717,500 ","$781,500 ","$905,000 ","$980,000 ","$1,175,000 ","$1,100,000 ","$1,042,500 ","$1,125,000 "
