,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
,Keilor East-Avondale Heights,941,$330 ,"1,023",$350 ,"1,017",$350 ,"1,240",$360 ,"1,246",$370 ,"1,451",$370 ,"1,466",$385 ,"1,444",$395 ,"1,435",$410 ,"1,518",$420 ,"1,535",$410 
,Melton,"1,507",$250 ,"1,937",$265 ,"2,142",$270 ,"2,125",$270 ,"1,870",$275 ,"1,864",$280 ,"1,935",$295 ,"2,145",$310 ,"2,344",$330 ,"2,473",$340 ,"2,826",$345 
,Newport-Spotswood,646,$350 ,721,$360 ,706,$390 ,750,$390 ,764,$410 ,743,$430 ,786,$450 ,818,$460 ,810,$475 ,845,$480 ,791,$495 
,St Albans-Deer Park,"1,805",$280 ,"1,938",$285 ,"2,052",$290 ,"2,194",$290 ,"1,965",$300 ,"2,036",$310 ,"2,047",$320 ,"2,099",$330 ,"2,043",$350 ,"1,875",$350 ,"1,865",$360 
,Sunshine,"1,218",$270 ,"1,347",$280 ,"1,441",$284 ,"1,566",$290 ,"1,461",$300 ,"1,529",$310 ,"1,549",$320 ,"1,469",$330 ,"1,526",$340 ,"1,547",$350 ,"1,506",$360 
,Sydenham,"1,929",$320 ,"1,985",$330 ,"1,949",$330 ,"2,211",$340 ,"2,272",$350 ,"2,263",$360 ,"2,208",$365 ,"2,177",$380 ,"2,227",$390 ,"2,354",$400 ,"2,435",$400 
,Werribee-Hoppers Crossing,"4,347",$275 ,"4,714",$285 ,"5,637",$290 ,"4,990",$290 ,"4,581",$300 ,"4,853",$310 ,"4,867",$320 ,"5,340",$340 ,"6,326",$360 ,"6,933",$370 ,"7,816",$370 
,West Footscray,930,$300 ,"1,114",$310 ,"1,230",$320 ,"1,352",$320 ,"1,353",$330 ,"1,410",$330 ,"1,511",$350 ,"1,457",$360 ,"1,424",$380 ,"1,377",$390 ,"1,434",$410 
,Williamstown,510,$380 ,488,$420 ,498,$430 ,548,$450 ,557,$450 ,562,$450 ,588,$480 ,543,$490 ,577,$495 ,593,$515 ,532,$530 
,Yarraville-Seddon,"1,066",$350 ,"1,093",$350 ,"1,138",$368 ,"1,135",$380 ,"1,197",$395 ,"1,198",$410 ,"1,263",$420 ,"1,194",$450 ,"1,236",$460 ,"1,301",$480 ,"1,302",$495 
,Group Total,"18,934",$290 ,"20,902",$300 ,"23,364",$300 ,"23,641",$310 ,"22,822",$320 ,"23,614",$330 ,"24,056",$345 ,"25,126",$360 ,"26,290",$370 ,"27,345",$380 ,"28,811",$380 
North Western Melbourne,Broadmeadows-Roxburgh Park,"1,079",$300 ,"1,197",$310 ,"1,276",$315 ,"1,441",$310 ,"1,388",$320 ,"1,389",$325 ,"1,610",$330 ,"1,755",$345 ,"1,762",$360 ,"1,704",$370 ,"1,656",$370 
,Brunswick,"1,679",$350 ,"1,811",$370 ,"2,007",$395 ,"2,009",$400 ,"1,854",$400 ,"2,114",$400 ,"2,032",$420 ,"1,961",$440 ,"2,022",$450 ,"2,050",$470 ,"1,963",$475 
,Coburg-Pascoe Vale South,"1,056",$350 ,"1,175",$360 ,"1,382",$370 ,"1,325",$375 ,"1,376",$380 ,"1,331",$390 ,"1,382",$400 ,"1,452",$418 ,"1,380",$440 ,"1,447",$450 ,"1,362",$450 
,Craigieburn,685,$320 ,837,$330 ,"1,207",$330 ,"1,293",$320 ,"1,461",$330 ,"1,608",$330 ,"1,734",$340 ,"1,862",$350 ,"1,990",$370 ,"2,318",$380 ,"2,562",$390 
,East Brunswick,484,$380 ,522,$400 ,608,$430 ,668,$410 ,976,$385 ,"1,019",$400 ,"1,149",$424 ,"1,274",$420 ,"1,196",$435 ,"1,339",$450 ,"1,304",$450 
,Essendon,"1,527",$320 ,"1,718",$335 ,"1,876",$350 ,"1,985",$350 ,"2,025",$350 ,"2,078",$353 ,"2,326",$370 ,"2,358",$390 ,"2,358",$400 ,"2,327",$410 ,"2,325",$415 
,Gladstone Park-Tullamarine,495,$300 ,565,$310 ,627,$325 ,651,$320 ,608,$330 ,644,$335 ,581,$340 ,599,$360 ,614,$380 ,629,$385 ,691,$390 
,Keilor,67,$350 ,60,$340 ,75,$350 ,76,$365 ,79,$370 ,65,$370 ,69,$400 ,66,$400 ,65,$430 ,54,$450 ,57,$410 
,Moonee Ponds-Ascot Vale,"1,174",$350 ,"1,275",$375 ,"1,351",$390 ,"1,321",$390 ,"1,375",$380 ,"1,428",$390 ,"1,600",$400 ,"1,603",$410 ,"1,537",$440 ,"1,788",$450 ,"1,877",$430 
,Oak Park-Glenroy-Fawkner,"1,244",$310 ,"1,432",$330 ,"1,575",$330 ,"1,666",$320 ,"1,632",$330 ,"1,708",$340 ,"1,805",$350 ,"1,884",$360 ,"2,038",$380 ,"2,007",$390 ,"1,980",$400 
